order_details_id;order_id;pizza_id;quantity;order_date;order_time;unit_price;total_price;pizza_size;pizza_category;pizza_ingredients;pizza_name
1;1;hawaiian_m;1;00:00.0;1899-12-30 11:38:36.000;13.25;13.25;M;Classic;Sliced Ham, Pineapple, Mozzarella Cheese;The Hawaiian Pizza
2;2;classic_dlx_m;1;00:00.0;1899-12-30 11:57:40.000;16;16;M;Classic;Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon;The Classic Deluxe Pizza
3;2;five_cheese_l;1;00:00.0;1899-12-30 11:57:40.000;18.5;18.5;L;Veggie;Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic;The Five Cheese Pizza
4;2;ital_supr_l;1;00:00.0;1899-12-30 11:57:40.000;20.75;20.75;L;Supreme;Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic;The Italian Supreme Pizza
5;2;mexicana_m;1;00:00.0;1899-12-30 11:57:40.000;16;16;M;Veggie;Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic;The Mexicana Pizza
6;2;thai_ckn_l;1;00:00.0;1899-12-30 11:57:40.000;20.75;20.75;L;Chicken;Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce;The Thai Chicken Pizza
7;3;ital_supr_m;1;00:00.0;1899-12-30 12:12:28.000;16.5;16.5;M;Supreme;Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic;The Italian Supreme Pizza
8;3;prsc_argla_l;1;00:00.0;1899-12-30 12:12:28.000;20.75;20.75;L;Supreme;Prosciutto di San Daniele, Arugula, Mozzarella Cheese;The Prosciutto and Arugula Pizza
9;4;ital_supr_m;1;00:00.0;1899-12-30 12:16:31.000;16.5;16.5;M;Supreme;Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic;The Italian Supreme Pizza
10;5;ital_supr_m;1;00:00.0;1899-12-30 12:21:30.000;16.5;16.5;M;Supreme;Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic;The Italian Supreme Pizza
11;6;bbq_ckn_s;1;00:00.0;1899-12-30 12:29:36.000;12.75;12.75;S;Chicken;Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce;The Barbecue Chicken Pizza
12;6;the_greek_s;1;00:00.0;1899-12-30 12:29:36.000;12;12;S;Classic;Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions;The Greek Pizza
13;7;spinach_supr_s;1;00:00.0;1899-12-30 12:50:37.000;12.5;12.5;S;Supreme;Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese;The Spinach Supreme Pizza
